dcls_month,fin_co_no,fin_prdt_cd,intr_rate_type,intr_rate_type_nm,save_trm,intr_rate,intr_rate2,rsrv_type,rsrv_type_nm
202410,0010001,WR0001B,S,단리,1,3.0,3.0,,
202410,0010001,WR0001B,S,단리,3,3.37,3.37,,
202410,0010001,WR0001B,S,단리,6,3.42,3.42,,
202410,0010001,WR0001B,S,단리,12,3.37,3.37,,
202410,0010001,WR0001B,S,단리,24,2.7,2.7,,
202410,0010001,WR0001B,S,단리,36,2.7,2.7,,
202410,0010002,00320342,S,단리,1,3.0,3.2,,
202410,0010002,00320342,S,단리,3,3.3,3.5,,
202410,0010002,00320342,S,단리,6,3.25,3.45,,
202410,0010002,00320342,S,단리,12,3.05,3.35,,
202410,0010016,10511008000996000,S,단리,6,2.22,2.87,,
202410,0010016,10511008000996000,S,단리,12,2.91,3.56,,
202410,0010016,10511008000996000,S,단리,24,2.78,3.43,,
202410,0010016,10511008000996000,S,단리,36,2.8,3.45,,
202410,0010016,10511008001004000,S,단리,3,1.82,2.27,,
202410,0010016,10511008001004000,S,단리,6,2.32,2.77,,
202410,0010016,10511008001004000,S,단리,12,3.01,3.46,,
202410,0010016,10511008001004000,S,단리,24,2.88,3.33,,
202410,0010016,10511008001004000,S,단리,36,2.9,3.35,,
202410,0010016,10511008001166004,S,단리,12,3.05,3.5,,
202410,0010016,10511008001278000,S,단리,1,2.1,2.15,,
202410,0010016,10511008001278000,S,단리,3,3.3,3.35,,
202410,0010016,10511008001278000,S,단리,6,3.15,3.4,,
202410,0010016,10511008001278000,S,단리,12,3.1,3.35,,
202410,0010016,10511008001278000,S,단리,24,2.88,3.13,,
202410,0010016,10511008001278000,S,단리,36,2.9,3.15,,
202410,0010017,01030500510002,S,단리,1,2.25,2.25,,
202410,0010017,01030500510002,S,단리,3,2.45,3.05,,
202410,0010017,01030500510002,S,단리,6,2.55,3.05,,
202410,0010017,01030500510002,S,단리,12,2.75,3.2,,
202410,0010017,01030500510002,S,단리,24,2.5,2.5,,
202410,0010017,01030500510002,S,단리,36,2.5,2.5,,
202410,0010017,01030500560002,S,단리,1,2.05,2.5,,
202410,0010017,01030500560002,S,단리,3,2.6,3.05,,
202410,0010017,01030500560002,S,단리,6,2.85,3.3,,
202410,0010017,01030500560002,S,단리,12,3.0,3.45,,
202410,0010017,01030500560002,S,단리,24,2.25,2.7,,
202410,0010017,01030500560002,S,단리,36,1.95,2.4,,
202410,0010017,01030500600002,S,단리,6,2.95,3.15,,
202410,0010017,01030500600002,S,단리,12,3.15,3.35,,
202410,0010019,TD11300027000,M,복리,12,3.01,3.21,,
202410,0010019,TD11300027000,M,복리,24,2.99,3.19,,
202410,0010019,TD11300027000,M,복리,36,2.86,3.06,,
202410,0010019,TD11300031000,S,단리,1,2.8,2.9,,
202410,0010019,TD11300031000,S,단리,3,2.95,3.05,,
202410,0010019,TD11300031000,S,단리,6,2.99,3.09,,
202410,0010019,TD11300031000,S,단리,12,2.91,3.11,,
202410,0010019,TD11300031000,S,단리,24,2.89,3.09,,
202410,0010019,TD11300031000,S,단리,36,2.76,2.96,,
202410,0010019,TD11300035000,S,단리,12,2.81,3.31,,
202410,0010019,TD11300036000,S,단리,3,3.3,3.3,,
202410,0010019,TD11300036000,S,단리,6,3.35,3.35,,
202410,0010019,TD11300036000,S,단리,12,3.3,3.3,,
202410,0010020,101272000006,S,단리,1,2.4,2.5,,
202410,0010020,101272000006,S,단리,3,2.5,2.6,,
202410,0010020,101272000006,S,단리,6,2.65,2.75,,
202410,0010020,101272000006,S,단리,12,2.85,2.95,,
202410,0010020,101272000006,S,단리,24,2.95,3.05,,
202410,0010020,101272000006,S,단리,36,3.05,3.15,,
202410,0010020,101272000057,S,단리,1,1.8,2.9,,
202410,0010020,101272000057,S,단리,3,2.1,3.0,,
202410,0010020,101272000057,S,단리,6,2.5,3.3,,
202410,0010020,101272000057,S,단리,12,2.6,3.45,,
202410,0010020,101272000057,S,단리,24,2.5,3.3,,
202410,0010020,101272000057,S,단리,36,2.5,3.3,,
202410,0010020,101272000058,S,단리,3,2.1,2.9,,
202410,0010020,101272000058,S,단리,6,2.25,3.1,,
202410,0010020,101272000058,S,단리,12,2.45,3.2,,
202410,0010022,10-01-20-024-0046-0000,S,단리,3,3.4,3.4,,
202410,0010022,10-01-20-024-0046-0000,S,단리,6,3.5,3.5,,
202410,0010022,10-01-20-024-0046-0000,S,단리,12,3.35,3.35,,
202410,0010022,10-01-20-024-0059-0000,S,단리,12,3.25,3.6,,
202410,0010022,10-01-20-024-0059-0000,S,단리,24,,3.35,,
202410,0010022,10-01-20-024-0059-0000,S,단리,36,,3.45,,
202410,0010024,21001115,S,단리,3,2.35,2.85,,
202410,0010024,21001115,S,단리,6,2.4,2.9,,
202410,0010024,21001115,S,단리,12,2.65,3.15,,
202410,0010024,21001115,S,단리,24,2.75,3.25,,
202410,0010024,21001203,S,단리,6,2.8,3.1,,
202410,0010024,21001203,S,단리,12,2.95,3.25,,
202410,0010024,21001203,S,단리,24,2.9,3.2,,
202410,0010024,21001266,S,단리,3,2.35,3.35,,
202410,0010024,21001266,S,단리,6,2.35,3.35,,
202410,0010024,21001266,S,단리,12,2.35,3.5,,
202410,0010026,01211310121,S,단리,12,2.95,3.15,,
202410,0010026,01211310121,S,단리,24,2.9,3.1,,
202410,0010026,01211310121,S,단리,36,2.85,3.05,,
202410,0010026,01211310130,S,단리,6,3.15,3.15,,
202410,0010026,01211310130,S,단리,12,3.0,3.0,,
202410,0010026,01211310130,S,단리,24,2.91,2.91,,
202410,0010026,01211310130,S,단리,36,2.82,2.82,,
202410,0010030,06492,S,단리,1,2.9,2.9,,
202410,0010030,06492,S,단리,3,3.0,3.0,,
202410,0010030,06492,S,단리,6,3.1,3.1,,
202410,0010030,06492,S,단리,12,3.2,3.2,,
202410,0010030,06492,S,단리,24,2.85,2.85,,
202410,0010030,06492,S,단리,36,2.85,2.85,,
202410,0010927,010300100335,S,단리,1,1.8,3.0,,
202410,0010927,010300100335,S,단리,3,2.2,3.35,,
202410,0010927,010300100335,S,단리,6,2.3,3.4,,
202410,0010927,010300100335,S,단리,12,2.5,3.35,,
202410,0010927,010300100335,S,단리,24,2.6,2.7,,
202410,0010927,010300100335,S,단리,36,2.6,2.7,,
202410,0011625,200-0134-16,S,단리,1,2.15,3.05,,
202410,0011625,200-0134-16,S,단리,3,2.45,3.4,,
202410,0011625,200-0134-16,S,단리,6,2.55,3.45,,
202410,0011625,200-0134-16,S,단리,12,2.6,3.45,,
202410,0011625,200-0135-12,S,단리,1,2.15,3.0,,
202410,0011625,200-0135-12,S,단리,3,2.45,3.35,,
202410,0011625,200-0135-12,S,단리,6,2.55,3.4,,
202410,0011625,200-0135-12,S,단리,12,2.6,3.35,,
202410,0011625,200-0135-12,S,단리,24,2.6,2.95,,
202410,0011625,200-0135-12,S,단리,36,2.6,2.95,,
202410,0013175,10-003-1225-0001,S,단리,1,2.95,3.05,,
202410,0013175,10-003-1225-0001,S,단리,3,3.25,3.35,,
202410,0013175,10-003-1225-0001,S,단리,6,3.35,3.45,,
202410,0013175,10-003-1225-0001,S,단리,12,3.32,3.42,,
202410,0013175,10-003-1381-0001,S,단리,12,2.75,3.15,,
